Dis No,Year,Seq,Glide,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,Disaster Subsubtype,Event Name,Country,ISO,Region,Continent,Location,Origin,Associated Dis,Associated Dis2,OFDA Response,Appeal,Declaration,AID Contribution ('000 US$),Dis Mag Value,Dis Mag Scale,Latitude,Longitude,Local Time,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No Injured,No Affected,No Homeless,Total Affected,Reconstruction Costs ('000 US$),"Reconstruction Costs, Adjusted ('000 US$)",Insured Damages ('000 US$),"Insured Damages, Adjusted ('000 US$)",Total Damages ('000 US$),"Total Damages, Adjusted ('000 US$)",CPI,Adm Level,Admin1 Code,Admin2 Code,Geo Locations
2010-0446-IDN,2010,0446,VO-2010-000170,Natural,Geophysical,Volcanic activity,Ash fall,,Mt. Sinabung,Indonesia,IDN,South-Eastern Asia,Asia,"Suka Meriah, Guru Kinayan, Gamber, Kuta Gugung, Siragong-Grang, Bekerah, Simacem, Sukanalu, Naman, Kebayaken, Kuta Rayat, Kuta Mbelin villages (Karo district, Sumatera Utara province)",,,,Yes,,,,,,3.17,98.392,00:15,,2010,8,29,2010,9,7,1,1,15059,,15060,,,,,,,74.50944408,2,,18227,Karo (Adm2). 
2011-0209-ARG,2011,0209,,Natural,Geophysical,Volcanic activity,Ash fall,,"Volcano ""Puyehue""",Argentina,ARG,South America,Americas,"San Martin de Los Andes town (Lacar district, Neuquen province), Bariloche district (Rio Negro province), Chubut province",,,,,,Yes,,,,-40.59,-72.12,,,2011,6,4,2011,6,17,,,3000,,3000,,,,,104000,135308,76.86159538,1;2,433,4743;4756,"Chubut (Adm1). Bariloche, Lacar (Adm2). "
2011-0209-CHL,2011,0209,,Natural,Geophysical,Volcanic activity,Ash fall,,"Volcano ""Puyehue""",Chile,CHL,South America,Americas,"Futrono, Lago Ranco, Rio Bueno towns (Ranco district, Los Rios province)",,,,,,,,,,-40.59,-72.12,,,2011,6,4,2011,6,17,,,3500,,3500,,,,,,,76.86159538,2,,149632,Ranco (Adm2). 
2009-0574-PHL,2009,0574,,Natural,Geophysical,Volcanic activity,Ash fall,,Mt. Mayon,Philippines (the),PHL,South-Eastern Asia,Asia,"Camalig, Daraga, Legaspi city, Tabaco, Malilipot, Santo Domingo, Ligao, Guinobatan areas (Albay district, Region V (Bicol region) province)",,Earthquake,,Yes,,,50,,,13.257,123.685,,,2009,12,14,2009,12,20,,,47137,,47137,,,,,,,73.30717672,2,,24240,Albay (Adm2). 
2010-0606-PHL,2010,0606,,Natural,Geophysical,Volcanic activity,Ash fall,,Mt. Bulusan,Philippines (the),PHL,South-Eastern Asia,Asia,"Casiguran, Juban, Irosin, Magallanes areas (Sorsogon district, Region V (Bicol region) province)",,,,,,,,,,12.77,124.05,,,2010,11,9,2010,11,9,,,14161,,14161,,,,,,,74.50944408,2,,24245,Sorsogon (Adm2). 
2011-0101-PHL,2011,0101,,Natural,Geophysical,Volcanic activity,Ash fall,,Mt. Bulusan,Philippines (the),PHL,South-Eastern Asia,Asia,"Irosin, Juban, Bulan areas (Sorsogon district, Region V (Bicol region) province)",,,,,,,,,,12.77,124.05,,,2011,2,21,2011,2,21,,,32616,,32616,,,,,,,76.86159538,2,,24245,Sorsogon (Adm2). 
2009-0553-VUT,2009,0553,,Natural,Geophysical,Volcanic activity,Ash fall,,Mt. Garet,Vanuatu,VUT,Melanesia,Oceania,Gaua island (Torba province),,,,,,,,,,,,,,2009,11,26,2009,11,26,,,400,,400,,,,,,,73.30717672,2,,31855,Administrative unit not available (Adm2). 
2011-0568-IDN,2011,0568,,Natural,Geophysical,Volcanic activity,Ash fall,,Mt. Gamalama,Indonesia,IDN,South-Eastern Asia,Asia,Kota Ternate district (Maluku Utara province),,Flood,,,,,,,,0.8,127.33,,,2011,12,4,2011,12,27,3,5,2368,,2373,,,,,,,76.86159538,2,,73758,Kota Ternate (Adm2). 
2011-0506-IDN,2011,0506,,Natural,Geophysical,Volcanic activity,Ash fall,,Mt. Lokon,Indonesia,IDN,South-Eastern Asia,Asia,"Kota Manado, Kota Tomohon, Minahasa Selatan, Minahasa Utara, Minahasa districts (Sulawesi Utara province)",,,,,,,,,,1.358333,124.79,,,2011,7,11,2011,7,17,,,,6000,6000,,,,,,,76.86159538,2,,18200;73760;73798;73799;73800,"Kota Manado, Kota Tomohon, Minahasa, Minahasa Selatan, Minahasa Utara (Adm2). "
2012-0356-GTM,2012,0356,,Natural,Geophysical,Volcanic activity,Ash fall,,,Guatemala,GTM,Central America,Americas,"Sacatepéquez, Escuintla and Chimaltenango provinces",,,,,,,,,,,,,,2012,9,13,2012,9,13,,,10000,,10000,,,,,,,78.45211388,1,64823;64824;64825,,"Chimaltenango, Escuintla, Sacatepéquez (Adm1). "
